,DNCP,OPCP,HPCP,LPCP,CPCP,ACPCP,VTCP,MPCP_ratio,MPN5P,HPN5P,LPN5P,hpn1p,lpn1p
0,36585,45.875,45.875,44.4375,44.6875,27.880445,58437400,1.046503497,46.765625,49.4375,44.46875,47.046875,44.46875
1,36586,44.8125,47.046875,44.46875,45.40625,28.32888,106889800,1.036648314,47.0703125,49.4375,45.0625,47.6875,45.5625
2,36587,45.90625,47.6875,45.5625,46.6875,29.128248,106932600,1.020749665,47.65625,50,45.0625,49.4375,46.9375
3,36588,47.375,49.4375,46.9375,48.0625,29.98611,101435200,0.9986996099,48,51.25,45.0625,48.6875,45.0625
4,36591,48,48.6875,45.0625,45.3125,28.27039,93609400,1.075862069,48.75,51.25,45.5,48.75,45.96875
5,36592,48.0625,48.75,45.96875,46.4375,28.97228,135060990,1.051144011,48.8125,51.25,45.5,48.09375,45.5
6,36593,46.90625,48.09375,45.5,47.78125,29.810629,94290000,1.021582734,48.8125,51.25,46.84375,50,47.5
7,36594,47.65625,50,47.5,50,31.194897,88198800,0.9703125,48.515625,51.25,46.625,51.25,49.75
8,36595,49.78125,51.25,49.75,50.5,31.506855,85589000,0.9566831683,48.3125,50.125,46.625,50.125,48.75
9,36598,48.8125,50.125,48.75,49,30.571024,61831800,0.9846938776,48.25,49.875,46.625,49.625,47.5625
10,36599,49.3125,49.625,47.5625,47.5625,29.674162,73489200,1.015768725,48.3125,51.5625,46.625,48.3125,46.84375
11,36600,47.28125,48.3125,46.84375,47.6875,29.752146,53208000,1.028505898,49.046875,52.8125,46.625,48.34375,46.625
12,36601,47.96875,48.34375,46.625,47.6875,29.752146,77300800,1.046199214,49.890625,56.4375,47.25,49.75,47.25
13,36602,47.625,49.75,47.25,49.6875,30.999943,81161600,1.038522013,51.6015625,57.5,48.25,49.875,48.25
14,36605,49.375,49.875,48.25,48.6875,30.37604,47773000,1.088615209,53.001953,57.5,48.25,51.5625,48.25
15,36606,48.375,51.5625,48.25,51.375,32.052776,81648800,1.037712895,53.3125,57.5,50.5625,52.8125,50.5625
16,36607,51.40625,52.8125,50.5625,51.625,32.208744,93975800,1.038135593,53.59375,57.5,51.1875,56.4375,53.3125
17,36608,53.40625,56.4375,53.3125,55.9375,34.89931,148224000,0.9491620112,53.09375,57.5,51.1875,57.5,54.78125
18,36609,56.3125,57.5,54.78125,55.84375,34.8408,112196800,0.9490766648,53,54.46875,51.1875,54.125,51.96875
19,36612,53.882812,54.125,51.96875,52.03125,32.462196,111434000,1.01021021,52.5625,54.46875,45,53.71875,51.1875
20,36613,51.8125,53.71875,51.1875,52.15625,32.540195,81114400,0.9982025165,52.0625,54.46875,42.46875,54.46875,52.5625
21,36614,52.59375,54.46875,52.5625,53.59375,33.437046,64363800,0.8672011662,46.4765625,54.3125,42.46875,54.3125,51.25
22,36615,53.09375,54.3125,51.25,51.6875,32.247753,64178400,0.8635126965,44.6328125,54.125,42.46875,54.125,52.0625
23,36616,53,54.125,52.0625,53.125,33.144592,64281400,0.8305882353,44.125,48.25,42.46875,48.25,45
24,36619,47.21875,48.25,45,45.4375,28.34838,260118210,0.9640646492,43.8046875,46,42.46875,46,42.46875
25,36620,45.78125,46,42.46875,44.28125,27.626997,181244400,0.9799311898,43.392578,44.6875,41.75,44.25,42.9375
