DATE,OPCP,HPCP,LPCP,CPCP,ACPCP,VTCP,MPN5P,HPN5P,LPN5P,HPN1P,LPN1P
2000-02-29,45.875,45.875,44.4375,44.6875,27.880445,58437400,46.765625,49.4375,44.46875,47.046875,44.46875
2000-03-01,44.8125,47.046875,44.46875,45.40625,28.32888,106889800,47.0703125,49.4375,45.0625,47.6875,45.5625
2000-03-02,45.90625,47.6875,45.5625,46.6875,29.128248,106932600,47.65625,50.0,45.0625,49.4375,46.9375
2000-03-03,47.375,49.4375,46.9375,48.0625,29.98611,101435200,48.0,51.25,45.0625,48.6875,45.0625
2000-03-06,48.0,48.6875,45.0625,45.3125,28.27039,93609400,48.75,51.25,45.5,48.75,45.96875
2000-03-07,48.0625,48.75,45.96875,46.4375,28.97228,135060990,48.8125,51.25,45.5,48.09375,45.5
2000-03-08,46.90625,48.09375,45.5,47.78125,29.810629,94290000,48.8125,51.25,46.84375,50.0,47.5
2000-03-09,47.65625,50.0,47.5,50.0,31.194897,88198800,48.515625,51.25,46.625,51.25,49.75
2000-03-10,49.78125,51.25,49.75,50.5,31.506855,85589000,48.3125,50.125,46.625,50.125,48.75
2000-03-13,48.8125,50.125,48.75,49.0,30.571024,61831800,48.25,49.875,46.625,49.625,47.5625
2000-03-14,49.3125,49.625,47.5625,47.5625,29.674162,73489200,48.3125,51.5625,46.625,48.3125,46.84375
2000-03-15,47.28125,48.3125,46.84375,47.6875,29.752146,53208000,49.046875,52.8125,46.625,48.34375,46.625
2000-03-16,47.96875,48.34375,46.625,47.6875,29.752146,77300800,49.890625,56.4375,47.25,49.75,47.25
2000-03-17,47.625,49.75,47.25,49.6875,30.999943,81161600,51.6015625,57.5,48.25,49.875,48.25
2000-03-20,49.375,49.875,48.25,48.6875,30.37604,47773000,53.001953,57.5,48.25,51.5625,48.25
2000-03-21,48.375,51.5625,48.25,51.375,32.052776,81648800,53.3125,57.5,50.5625,52.8125,50.5625
2000-03-22,51.40625,52.8125,50.5625,51.625,32.208744,93975800,53.59375,57.5,51.1875,56.4375,53.3125
2000-03-23,53.40625,56.4375,53.3125,55.9375,34.89931,148224000,53.09375,57.5,51.1875,57.5,54.78125
2000-03-24,56.3125,57.5,54.78125,55.84375,34.8408,112196800,53.0,54.46875,51.1875,54.125,51.96875
2000-03-27,53.882812,54.125,51.96875,52.03125,32.462196,111434000,52.5625,54.46875,45.0,53.71875,51.1875
2000-03-28,51.8125,53.71875,51.1875,52.15625,32.540195,81114400,52.0625,54.46875,42.46875,54.46875,52.5625
2000-03-29,52.59375,54.46875,52.5625,53.59375,33.437046,64363800,46.4765625,54.3125,42.46875,54.3125,51.25
2000-03-30,53.09375,54.3125,51.25,51.6875,32.247753,64178400,44.6328125,54.125,42.46875,54.125,52.0625
2000-03-31,53.0,54.125,52.0625,53.125,33.144592,64281400,44.125,48.25,42.46875,48.25,45.0
2000-04-03,47.21875,48.25,45.0,45.4375,28.34838,260118210,43.8046875,46.0,42.46875,46.0,42.46875
2000-04-04,45.78125,46.0,42.46875,44.28125,27.626997,181244400,43.392578,44.6875,41.75,44.25,42.9375
2000-04-05,44.125,44.25,42.9375,43.1875,26.944614,82887600,43.0,44.6875,39.375,44.0,42.632812
2000-04-06,43.9375,44.0,42.632812,43.0,26.827623,66421400,42.3203125,44.6875,39.375,44.6875,42.5
2000-04-07,43.5,44.6875,42.5,44.53125,27.782972,82613600,41.0625,44.3125,36.625,44.3125,43.0
2000-04-10,44.3125,44.3125,43.0,43.03125,26.84712,60685400,39.6875,43.03125,36.5,43.03125,41.75
2000-04-11,42.5625,43.03125,41.75,41.9375,26.16472,71961800,39.5,41.125,36.5,41.125,39.375
2000-04-12,41.0625,41.125,39.375,39.6875,24.76095,153003810,39.359375,41.125,36.5,41.125,39.5
2000-04-13,40.4375,41.125,39.5,39.625,24.72197,94316200,39.3125,40.96875,36.5,39.75,36.625
2000-04-14,39.5625,39.75,36.625,37.0625,23.123222,151217790,38.75,40.96875,32.5,38.0,36.5
2000-04-17,37.125,38.0,36.5,37.9375,23.669142,119772200,38.75,40.96875,32.5,40.96875,37.9375
2000-04-18,38.25,40.96875,37.9375,40.28125,25.131407,91794600,34.75,40.75,32.5,40.75,39.0625
2000-04-19,40.71875,40.75,39.0625,39.34375,24.546495,53715400,34.40625,39.9375,32.5,39.9375,38.75
2000-04-20,39.3125,39.9375,38.75,39.46875,24.62449,52387400,34.375,35.5625,32.5,34.0,32.5
2000-04-24,33.625,34.0,32.5,33.3125,20.783604,313645800,34.875,37.0,33.6875,34.75,33.8125
2000-04-25,34.375,34.75,33.8125,34.6875,21.641476,159517410,34.96875,37.0,33.6875,35.5625,33.6875
2000-04-26,35.0,35.5625,33.6875,34.0,21.212545,107091200,35.1875,37.0,33.6875,34.96875,33.6875
2000-04-27,33.71875,34.96875,33.6875,34.90625,21.77795,77669800,35.28125,37.0,34.125,35.5,34.125
2000-04-28,35.375,35.5,34.125,34.875,21.758444,78082600,35.3828125,37.0,34.40625,37.0,35.84375
2000-05-01,36.4375,37.0,35.84375,36.71875,22.908777,107811000,35.21875,36.75,34.40625,36.75,34.75
2000-05-02,36.40625,36.75,34.75,34.9375,21.79745,97716200,35.1640625,35.90625,33.75,35.40625,34.40625
2000-05-03,35.1875,35.40625,34.40625,35.28125,22.011902,55354800,35.09375,35.90625,32.875,35.625,34.65625
2000-05-04,35.15625,35.625,34.65625,35.21875,21.972927,43317200,34.4921875,35.90625,32.875,35.90625,34.9375
2000-05-05,35.125,35.90625,34.9375,35.5625,22.18738,36402200,34.125,35.6875,32.875,35.6875,34.84375
2000-05-08,35.46875,35.6875,34.84375,34.90625,21.77795,36187600,34.0625,35.21875,32.875,35.21875,33.75
2000-05-09,35.09375,35.21875,33.75,33.90625,21.15405,60778400,34.21875,35.3125,32.875,33.9375,32.875
2000-05-10,33.875,33.9375,32.875,33.09375,20.647137,67740000,34.40625,35.3125,32.875,34.0625,32.875
2000-05-11,33.3125,34.0625,32.875,33.9375,21.173546,58390800,34.40625,35.3125,32.9375,34.875,34.125
2000-05-12,34.21875,34.875,34.125,34.40625,21.466,37886000,34.03125,35.3125,32.25,34.71875,34.0
2000-05-15,34.5,34.71875,34.0,34.6875,21.641476,33899600,33.5234375,35.3125,31.21875,35.3125,34.53125
2000-05-16,34.78125,35.3125,34.53125,34.75,21.680468,48410600,32.6875,34.5625,31.21875,34.5625,33.625
2000-05-17,34.4375,34.5625,33.625,33.84375,21.11505,53242000,32.5625,34.03125,31.21875,34.03125,32.9375
2000-05-18,34.03125,34.03125,32.9375,33.09375,20.647137,53640400,32.25,33.28125,30.5625,32.96875,32.25
2000-05-19,32.6875,32.96875,32.25,32.53125,20.29619,66578000,31.59375,33.28125,30.1875,32.625,31.21875
2000-05-22,32.5625,32.625,31.21875,32.09375,20.023233,69955000,31.53125,33.28125,30.1875,32.78125,31.53125
2000-05-23,31.9375,32.78125,31.53125,31.59375,19.711287,57963200,31.4921875,33.28125,30.1875,33.28125,31.5
2000-05-24,31.5625,33.28125,31.5,32.78125,20.452162,85482400,31.4921875,33.0,30.1875,32.375,30.5625
2000-05-25,32.28125,32.375,30.5625,30.75,19.18487,94348800,31.820312,33.375,30.1875,31.3125,30.1875
2000-05-26,31.03125,31.3125,30.1875,30.71875,19.165373,55822000,32.28125,34.1875,31.0,32.0625,31.0
2000-05-30,31.21875,32.0625,31.0,31.6875,19.769768,68536400,33.0,34.9375,31.03125,31.851562,31.03125
2000-05-31,31.820312,31.851562,31.03125,31.28125,19.516321,54968200,33.408203,35.375,31.90625,33.0,31.90625
2000-06-01,32.1875,33.0,31.90625,32.28125,20.140217,94507200,34.125,36.0625,32.5,33.375,32.5
2000-06-02,33.0,33.375,32.5,33.15625,20.686127,80463200,34.4375,36.0625,33.0,34.1875,33.0
2000-06-05,33.007812,34.1875,33.0,33.4375,20.861609,64400000,34.5,36.0625,33.1875,34.9375,33.90625
2000-06-06,34.09375,34.9375,33.90625,34.8125,21.71946,99019000,34.40625,36.0625,33.0625,35.375,33.5625
2000-06-07,34.625,35.375,33.5625,35.25,21.992414,76310600,34.5,36.0625,33.0625,36.0625,34.125
2000-06-08,35.78125,36.0625,34.125,34.40625,21.466,94765600,34.5546875,36.34375,33.0625,34.84375,34.15625
2000-06-09,34.8125,34.84375,34.15625,34.40625,21.466,35710200,35.1015625,36.5625,33.0625,34.5,33.1875
2000-06-12,34.5,34.5,33.1875,33.4375,20.861609,49260600,35.75,36.90625,33.0625,34.0,33.0625
2000-06-13,33.375,34.0,33.0625,33.9375,21.173546,44289200,36.28125,37.625,34.75,35.5,34.75
2000-06-14,34.90625,35.5,34.75,35.25,21.992414,79992400,36.5625,41.09375,35.3125,36.34375,35.3125
2000-06-15,35.40625,36.34375,35.3125,36.1875,22.577318,65592600,37.2265625,41.09375,35.75,36.5625,35.75
2000-06-16,36.3125,36.5625,35.75,36.28125,22.635815,68710600,38.5,41.09375,36.0,36.90625,36.0
2000-06-19,36.28125,36.90625,36.0,36.84375,22.986761,46604800,39.3359375,41.09375,36.875,37.625,36.875
2000-06-20,36.9375,37.625,36.875,37.46875,23.376688,62275000,39.625,41.09375,38.46875,41.09375,38.46875
2000-06-21,38.5,41.09375,38.46875,40.34375,25.17039,160399600,39.578125,41.0,38.5,41.0,39.65625
2000-06-22,40.6875,41.0,39.65625,39.9375,24.91694,87315200,39.40625,40.0625,38.5,40.03125,38.5
2000-06-23,39.96875,40.03125,38.5,38.84375,24.234547,49811600,39.40625,40.0625,38.34375,40.0625,38.75
2000-06-26,38.75,40.0625,38.75,39.75,24.799961,48287000,39.5,40.0625,38.34375,40.0625,39.1875
2000-06-27,39.625,40.0625,39.1875,39.40625,24.585485,31071200,39.5,40.03125,38.34375,40.03125,39.3125
2000-06-28,39.5,40.03125,39.3125,39.46875,24.62449,37459200,39.5625,40.84375,38.34375,39.46875,38.53125
2000-06-29,39.125,39.46875,38.53125,38.59375,24.078571,38449000,39.9375,41.4375,38.34375,40.0,38.34375
2000-06-30,38.53125,40.0,38.34375,40.0,24.955933,52356400,40.0,41.4375,39.125,40.03125,39.6875
2000-07-03,39.84375,40.03125,39.6875,40.0,24.955933,15734800,39.9375,41.4375,39.125,39.9375,39.125
2000-07-05,39.9375,39.9375,39.125,39.25,24.48801,34824400,40.1015625,41.4375,38.59375,40.84375,39.25
2000-07-06,39.4375,40.84375,39.25,40.46875,25.248386,47873200,39.96875,41.4375,38.59375,41.4375,40.28125
2000-07-07,40.632812,41.4375,40.28125,41.0,25.579819,54153200,39.6171875,40.65625,38.59375,40.65625,39.6875
2000-07-10,40.34375,40.65625,39.6875,39.71875,24.780462,52689800,39.515625,40.5,38.59375,40.25,39.25
2000-07-11,39.40625,40.25,39.25,39.5625,24.682976,37164800,39.40625,40.5,38.59375,40.5,38.59375
2000-07-12,39.125,40.5,38.59375,40.15625,25.05342,58370200,39.1875,40.0,36.40625,40.0,38.6875
2000-07-13,39.40625,40.0,38.6875,39.96875,24.936432,80843200,38.8125,39.875,36.40625,39.875,39.21875
2000-07-14,39.75,39.875,39.21875,39.46875,24.62449,51180600,37.625,39.78125,35.9375,39.78125,38.75
2000-07-17,39.125,39.78125,38.75,39.09375,24.39053,53992800,37.078125,39.75,35.0,39.75,38.71875
2000-07-18,38.8125,39.75,38.71875,39.25,24.48801,70617200,36.40625,38.75,34.1875,38.75,36.40625
2000-07-19,38.03125,38.75,36.40625,36.5625,22.811289,139924610,35.59375,37.625,33.625,37.625,36.5625
2000-07-20,36.71875,37.625,36.5625,37.40625,23.337692,54690600,35.0,37.5,33.625,37.5,35.9375
2000-07-21,37.375,37.5,35.9375,36.15625,22.557823,56100600,34.84375,36.0625,33.625,36.0625,35.0
2000-07-24,36.03125,36.0625,35.0,35.28125,22.011902,56165600,34.8125,35.90625,33.625,35.5,34.1875
2000-07-25,35.40625,35.5,34.1875,34.5,21.524488,64188600,34.75,35.90625,33.625,34.75,33.625
2000-07-26,34.53125,34.75,33.625,33.90625,21.15405,85404600,34.8125,35.90625,33.75,35.0625,33.75
2000-07-27,33.9375,35.0625,33.75,34.6875,21.641476,74337600,34.84375,35.90625,34.0625,35.90625,34.8125
2000-07-28,35.46875,35.90625,34.8125,34.84375,21.738958,75645600,34.625,35.5625,34.0625,35.5625,34.625
2000-07-31,35.09375,35.5625,34.625,34.90625,21.77795,70283800,34.6875,35.5625,34.0625,35.03125,34.09375
2000-08-01,34.96875,35.03125,34.09375,34.34375,21.427,47163600,34.9375,37.34375,34.0625,35.21875,34.25
2000-08-02,34.28125,35.21875,34.25,34.6875,21.641476,48269200,35.09375,37.4375,34.0625,35.1875,34.0625
2000-08-03,34.09375,35.1875,34.0625,35.125,21.914417,54543400,35.875,37.4375,34.09375,34.9375,34.09375
2000-08-04,34.71875,34.9375,34.09375,34.5625,21.563482,38107400,36.21875,37.4375,34.875,35.5625,34.875
2000-08-07,35.09375,35.5625,34.875,35.0,21.836445,52741800,36.3125,37.4375,35.0,37.34375,35.0
2000-08-08,35.03125,37.34375,35.0,37.0625,23.123222,138038800,36.21875,37.4375,35.6875,37.4375,36.5625
2000-08-09,36.875,37.4375,36.5625,37.125,23.162226,63945600,36.125,37.03125,35.28125,37.03125,35.875
2000-08-10,36.90625,37.03125,35.875,36.3125,22.655313,48986000,36.0,36.6875,35.28125,36.34375,35.8125
2000-08-11,36.21875,36.34375,35.8125,36.21875,22.596813,35629600,35.75,36.6875,35.0,36.6875,35.6875
2000-08-14,36.15625,36.6875,35.6875,36.09375,22.518827,53427000,35.5625,36.5,35.0,36.5,35.75
2000-08-15,36.0,36.5,35.75,35.8125,22.343351,40714200,35.5,36.21875,35.0,36.125,35.28125
2000-08-16,35.9375,36.125,35.28125,35.5,22.148388,44976200,35.40625,36.21875,35.0,36.0,35.28125
2000-08-17,35.5625,36.0,35.28125,35.78125,22.323866,36112800,35.40625,36.21875,34.96875,35.71875,35.0
2000-08-18,35.5625,35.71875,35.0,35.5,22.148388,54438800,35.375,36.21875,34.96875,35.40625,35.03125
2000-08-21,35.34375,35.40625,35.03125,35.3125,22.0314,34119600,35.40625,36.21875,34.96875,36.21875,35.109375
2000-08-22,35.40625,36.21875,35.109375,35.625,22.226383,54428200,35.4375,36.375,34.96875,35.5625,35.1875
2000-08-23,35.40625,35.5625,35.1875,35.375,22.070402,36726800,35.4375,36.375,34.84375,35.59375,34.96875
2000-08-24,35.3125,35.59375,34.96875,35.5625,22.18738,42405400,35.4375,36.375,34.84375,35.84375,35.28125
2000-08-25,35.34375,35.84375,35.28125,35.3125,22.0314,52729400,35.3125,36.375,34.84375,36.0625,35.0625
2000-08-28,35.09375,36.0625,35.0625,35.65625,22.245872,56421600,35.1640625,36.375,34.84375,36.375,35.4375
2000-08-29,35.59375,36.375,35.4375,35.46875,22.128893,59400200,35.0625,36.0,34.65625,35.46875,34.84375
2000-08-30,35.34375,35.46875,34.84375,35.0,21.836445,53498800,35.03125,36.03125,34.65625,36.0,34.84375
2000-08-31,35.4375,36.0,34.84375,34.90625,21.77795,72575400,35.03125,36.03125,34.59375,35.3125,34.84375
2000-09-01,35.0,35.3125,34.84375,35.09375,21.894924,37629800,34.96875,36.03125,34.03125,35.34375,34.90625
2000-09-05,35.0,35.34375,34.90625,35.0625,21.875439,50755200,34.71875,36.03125,33.8125,35.34375,34.65625
2000-09-06,35.03125,35.34375,34.65625,34.71875,21.660969,62960800,34.5625,36.03125,33.59375,36.03125,34.71875
2000-09-07,35.0,36.03125,34.71875,35.03125,21.855932,111711200,34.375,35.4375,32.84375,35.4375,34.59375
2000-09-08,35.1875,35.4375,34.59375,34.65625,21.62198,56709600,34.03125,34.84375,31.65625,34.84375,34.03125
2000-09-11,34.5625,34.84375,34.03125,34.40625,21.466,48495200,33.59375,34.65625,31.09375,34.65625,33.8125
2000-09-12,34.375,34.65625,33.8125,34.0625,21.251534,46781200,32.71875,34.375,31.09375,34.375,33.59375
2000-09-13,33.78125,34.375,33.59375,34.125,21.290531,40744800,32.3125,34.375,31.09375,34.375,32.84375
2000-09-14,34.34375,34.375,32.84375,32.90625,20.530153,78503000,32.125,32.875,31.09375,32.8125,31.65625
2000-09-15,32.71875,32.8125,31.65625,32.09375,20.023233,99915200,32.0,32.875,30.5,32.3125,31.09375
2000-09-18,32.125,32.3125,31.09375,31.5,19.652796,69037800,31.78125,32.875,30.21875,32.875,31.6875
2000-09-19,31.8125,32.875,31.6875,32.5,20.276697,79311200,31.625,32.9375,30.21875,32.5,31.59375
2000-09-20,32.4375,32.5,31.59375,32.125,20.042732,67791400,31.34375,32.9375,29.90625,32.5625,31.78125
2000-09-21,32.0,32.5625,31.78125,32.09375,20.023233,48952200,30.9296875,32.9375,29.90625,31.75,30.5
2000-09-22,30.5625,31.75,30.5,31.625,19.730776,84476600,30.625,32.9375,29.3125,31.75,30.21875
2000-09-25,31.625,31.75,30.21875,30.625,19.10688,53484200,30.40625,32.9375,29.125,32.9375,30.21875
2000-09-26,30.46875,32.9375,30.21875,31.34375,19.555305,155704800,30.25,31.78125,28.25,31.78125,29.90625
2000-09-27,31.71875,31.78125,29.90625,30.3125,18.911917,106155600,29.8359375,30.9375,27.25,30.9375,30.3125
2000-09-28,30.40625,30.9375,30.3125,30.65625,19.126383,52360400,29.0546875,30.65625,27.25,30.65625,29.3125
2000-09-29,30.5,30.65625,29.3125,30.15625,18.814428,74053600,28.25,30.40625,27.25,30.40625,29.125
2000-10-02,30.25,30.40625,29.125,29.5625,18.44399,58562400,27.859375,29.90625,26.5,29.90625,28.25
2000-10-03,29.78125,29.90625,28.25,28.28125,17.644625,85374000,27.75,28.625,26.5,28.28125,27.25
2000-10-04,28.1875,28.28125,27.25,27.71875,17.293678,136453410,27.6875,28.625,26.5,28.625,27.625
2000-10-05,27.75,28.625,27.625,27.6875,17.274183,81099400,27.5859375,28.46875,26.5,28.375,27.375
2000-10-06,27.90625,28.375,27.375,27.78125,17.332674,61794000,27.234375,28.46875,26.0625,27.875,26.5
2000-10-09,27.8125,27.875,26.5,27.09375,16.903744,58323600,27.0,28.46875,24.78125,27.78125,26.90625
2000-10-10,26.96875,27.78125,26.90625,27.28125,17.020727,62066200,26.90625,28.46875,24.78125,28.46875,27.0
2000-10-11,27.0,28.46875,27.0,27.875,17.39116,101205800,26.21875,28.4375,24.21875,28.4375,26.90625
2000-10-12,28.15625,28.4375,26.90625,27.1875,16.962236,90219600,26.21875,31.09375,24.21875,27.4375,26.0625
2000-10-13,26.9375,27.4375,26.0625,26.875,16.76726,104521200,26.625,33.0625,24.21875,26.90625,24.78125
2000-10-16,26.75,26.90625,24.78125,25.1875,15.714437,119759000,30.0625,33.125,24.21875,26.21875,25.125
2000-10-17,25.9375,26.21875,25.125,25.21875,15.733933,81276600,30.75,33.125,24.21875,26.625,24.21875
2000-10-18,24.8125,26.625,24.21875,25.875,16.143366,110536400,30.9375,33.125,29.0,31.09375,29.0
2000-10-19,29.21875,31.09375,29.0,30.9375,19.301855,256993200,31.0625,33.125,30.09375,33.0625,30.5625
2000-10-20,30.65625,33.0625,30.5625,32.59375,20.335188,160378590,31.4140625,34.59375,30.09375,33.125,30.34375
2000-10-23,32.3125,33.125,30.34375,31.0625,19.379845,185170400,31.71875,35.0625,30.09375,31.46875,30.09375
2000-10-24,31.3125,31.46875,30.09375,30.75,19.18487,94427400,33.2734375,35.0625,30.21875,31.71875,30.21875
