,Date,DNCP,OPCP,HPCP,LPCP,CPCP,ACPCP,VTCP,MPN5P
0,2000-01-03,-3.36683674,0.6027344261,0.6115639849,0.5769915865,0.5951283804,0.3295251922,-0.3701641877,-1.62728933
1,2000-01-04,-2.378664621,0.6314074979,0.6443706993,0.6119295386,0.6262883785,0.3494002944,-0.1267229363,-1.35246834
2,2000-01-05,-1.689560175,0.6486049429,0.6636115226,0.6322001357,0.6464284841,0.3620422421,0.04872803959,-1.194941829
3,2000-01-06,-1.268081677,0.657912948,0.6706956481,0.6422150009,0.6546150155,0.36660774,0.1375657423,-1.039336162
4,2000-01-07,-1.045984298,0.6598008578,0.6711217669,0.645540855,0.657703594,0.3680749898,0.1863182937,-0.9702270906
5,2000-01-10,-0.953516746,0.6602161385,0.6691988006,0.645198215,0.6557949604,0.3662380644,0.2047516884,-0.8853265072
6,2000-01-11,-0.9346825986,0.6537964762,0.664494023,0.6370464746,0.6494758353,0.3613190997,0.2711422994,-0.7546732252
7,2000-01-12,-0.9507003044,0.6439174299,0.6574791627,0.6260856559,0.6440535546,0.3572291276,0.3914658643,-0.8079907935
8,2000-01-13,-0.9780351751,0.6358883103,0.655852054,0.6196972298,0.644757728,0.357881474,0.5044542254,-1.318064703
9,2000-01-14,-1.004417418,0.635503161,0.659012546,0.6218435051,0.6472431974,0.3598956102,0.5675887587,-2.022273313
10,2000-01-18,-1.024854943,0.6371442599,0.6574197677,0.6241773146,0.6426980031,0.3564963324,0.5990348611,-2.520668729
11,2000-01-19,-1.038549373,0.6320219515,0.6455580229,0.6160259063,0.6253545198,0.3432587814,0.5816510767,-2.486520694
12,2000-01-20,-1.04650521,0.6199916216,0.6287999468,0.6033900864,0.6055796606,0.3281339989,0.4917068177,-2.306671228
13,2000-01-21,-1.05031429,0.6047598708,0.6092603259,0.586040489,0.5849012505,0.3122997131,0.4269375946,-1.958106708
14,2000-01-24,-1.051492663,0.585990733,0.5896659881,0.5672724386,0.565946784,0.2977763231,0.3613020706,-1.50905723
15,2000-01-25,-1.051278009,0.5677156854,0.5713852368,0.5502195845,0.551267374,0.2865242306,0.306143224,-0.9767013751
16,2000-01-26,-1.050448523,0.5533445562,0.5560326698,0.536142414,0.5378023956,0.2762005384,0.2719118336,-0.1727470065
17,2000-01-27,-1.049448929,0.540288488,0.5435791107,0.5252140082,0.5300047927,0.2702205883,0.2853917571,0.6757486231
18,2000-01-28,-1.048491177,0.5320384525,0.5372373382,0.5200466038,0.5289031115,0.2693737515,0.2952828462,1.390288377
19,2000-01-31,-1.047648884,0.5315686099,0.5386943218,0.5209927335,0.5352950405,0.2742718542,0.3020984506,1.77831872
20,2000-02-01,-1.046987181,0.5397918961,0.5506990451,0.5317126669,0.5493531449,0.2850471969,0.2591935393,1.702663876
21,2000-02-02,-1.046466454,0.5549613878,0.5652616045,0.5476129177,0.5634872872,0.2958813134,0.1741872901,1.461995511
22,2000-02-03,-1.046031265,0.5708325304,0.5807009918,0.5639266561,0.5803568136,0.3088125836,0.112281143,0.7687034949
23,2000-02-04,-1.045630173,0.587425884,0.5962375855,0.5804771799,0.5956107014,0.3205055301,0.08504676067,-0.1799021837
24,2000-02-07,-1.045227392,0.6011018308,0.6062877714,0.5909961206,0.6044170308,0.3272561421,0.08108384946,-1.129305921
25,2000-02-08,-1.044866034,0.6080279083,0.6117316245,0.5946509519,0.6058473153,0.3283525969,0.1583494113,-1.9323119
26,2000-02-09,-1.044525725,0.6082137518,0.6078921365,0.5883929907,0.5953918407,0.3203378411,0.2630894918,-2.191822114
27,2000-02-10,-1.044183418,0.5977626006,0.5953064595,0.5760862182,0.5811878566,0.3094495514,0.3952551283,-2.178139188
28,2000-02-11,-1.043818411,0.5844211531,0.5781340025,0.5603004034,0.5610892495,0.2940426062,0.5468770924,-1.826591947
29,2000-02-14,-1.0434178,0.5671976119,0.5590448539,0.5458445225,0.5435429549,0.2805922067,0.5885954966,-1.60567939
30,2000-02-15,-1.043038391,0.5508803193,0.5422413788,0.5319276173,0.528360625,0.2689539371,0.5836026188,-1.551541738
31,2000-02-16,-1.042665511,0.5366767414,0.5291556119,0.518229003,0.5153591934,0.2589874954,0.5697780019,-1.626918515
32,2000-02-17,-1.042276184,0.523511267,0.5175401102,0.5042375538,0.5036275359,0.2499944123,0.5698992935,-1.695178118
33,2000-02-18,-1.041847424,0.5101744325,0.5057812541,0.4881232226,0.4883522551,0.2382849016,0.5517010786,-1.544801207
34,2000-02-22,-1.041366164,0.4927455431,0.4915167359,0.4718817818,0.4749559012,0.2280157364,0.5197415474,-1.412658768
35,2000-02-23,-1.040924221,0.477355316,0.477893496,0.4575399554,0.4642342718,0.2197969189,0.5071112942,-1.223677493
36,2000-02-24,-1.040508611,0.4655614118,0.4662011433,0.4450652733,0.4540641584,0.2120008791,0.49744064,-0.8446406131
37,2000-02-25,-1.040097848,0.4549287017,0.4557141877,0.4336043983,0.4427746011,0.2033467197,0.5112519844,-0.1832059566
38,2000-02-28,-1.039674658,0.4441657715,0.4483067002,0.4252221454,0.4355203722,0.1977858607,0.5670401579,0.4712715365
39,2000-02-29,-1.039292019,0.4402510276,0.4484647233,0.4237311343,0.4322950508,0.195313399,0.6469419686,1.110649648
40,2000-03-01,-1.038933919,0.4412400208,0.4568065085,0.4276917239,0.4366058456,0.1986178802,0.7926360147,1.433976057
41,2000-03-02,-1.038578713,0.450348771,0.468990136,0.4362901881,0.4456863609,0.2055787107,0.8989402082,1.536202732
42,2000-03-03,-1.038206075,0.4634372614,0.4820913577,0.4453517343,0.4548592529,0.2126103863,0.9598591006,1.573490005
43,2000-03-06,-1.0378038,0.475068898,0.4907040917,0.450922809,0.4605745743,0.2169915896,0.9855267947,1.684184671
44,2000-03-07,-1.037430528,0.4832356244,0.4977761736,0.4600630258,0.4726865663,0.226276264,0.986881187,1.301430265
45,2000-03-08,-1.037075012,0.4887434367,0.5044388536,0.4713148359,0.4884609903,0.238368448,0.9017339212,0.5890177187
46,2000-03-09,-1.036719014,0.4962164933,0.5131867859,0.486319321,0.5030110475,0.2495220649,0.789507495,-0.1518303637
47,2000-03-10,-1.036344341,0.5036450774,0.5181309622,0.4981335826,0.5090272349,0.2541338652,0.6657049882,-0.4418594198
48,2000-03-13,-1.035939942,0.5046899964,0.5157124325,0.4996824187,0.5057926047,0.2516542806,0.5393771455,-0.1281928974
49,2000-03-14,-1.035564954,0.5027750271,0.5104794696,0.4951606906,0.5001850936,0.2473556867,0.4658324778,0.5489828259
50,2000-03-15,-1.03520826,0.4983703058,0.5064029396,0.4908515264,0.4995900838,0.246899517,0.4187463054,1.291297133
51,2000-03-16,-1.034851568,0.4998324418,0.5099816492,0.4918062025,0.5061140149,0.2519005249,0.4472243993,1.935388304
52,2000-03-17,-1.034476566,0.5073555873,0.5230985212,0.5009100627,0.5211713484,0.2634429914,0.4875210192,2.302145246
53,2000-03-20,-1.034072078,0.5234777483,0.542859185,0.5176871816,0.5399620827,0.2778473863,0.5359997017,2.372542919
54,2000-03-21,-1.033697125,0.5443001008,0.5695580285,0.5400531646,0.5659489287,0.2977680879,0.6842808346,1.765738963
55,2000-03-22,-1.033340522,0.5730976127,0.5984484662,0.568095937,0.5914601025,0.3173240791,0.8394871186,0.7953866183
56,2000-03-23,-1.032983933,0.6003859922,0.62506842,0.5940929611,0.6145794058,0.3350465721,0.96102597,-0.5095043542
57,2000-03-24,-1.032609026,0.6190043311,0.6386952864,0.6089472378,0.6227139338,0.3412822327,0.9665751152,-1.527417846
58,2000-03-27,-1.032204615,0.6207550326,0.6366866562,0.6083937665,0.6162551478,0.3363311519,0.9082804824,-2.359620138
59,2000-03-28,-1.031829711,0.6126652471,0.6286326559,0.600389836,0.6061365321,0.3285745283,0.8096543016,-3.587725243
60,2000-03-29,-1.031473141,0.600728769,0.6152809929,0.5864925533,0.5911666491,0.3170990567,0.7489417953,-5.131825848
61,2000-03-30,-1.031116599,0.5811594317,0.5921905408,0.5606124569,0.5647376587,0.2968393828,0.7834639834,-5.882185129
62,2000-03-31,-1.030741799,0.5497775194,0.5566263105,0.5235236322,0.5288909697,0.269360438,0.9126355295,-5.707793149
63,2000-04-03,-1.030337631,0.5052933416,0.5073984482,0.4720124967,0.4784441959,0.2306895567,1.103329372,-4.433785981
64,2000-04-04,-1.029963196,0.4638884778,0.4606994298,0.4272453225,0.4355679219,0.1978220057,1.092052564,-3.30596685
65,2000-04-05,-1.02960745,0.4292328557,0.4227612,0.3968065845,0.4030913395,0.1729265321,0.9343110793,-2.611440031
66,2000-04-06,-1.029252214,0.4038386546,0.3963516733,0.3754846302,0.3809961289,0.1559890812,0.7893032897,-2.469918453
67,2000-04-07,-1.028879264,0.384119117,0.377578812,0.3590045524,0.3645137836,0.1433543137,0.7211445863,-2.674080942
68,2000-04-10,-1.028477364,0.3664842196,0.3588679711,0.3423884869,0.3432172817,0.1270291632,0.7066917949,-2.601774474
69,2000-04-11,-1.028105103,0.3438682602,0.3370789443,0.3195109457,0.3180901572,0.1077675737,0.7947601015,-2.164984165
70,2000-04-12,-1.027750293,0.3189424784,0.3137416355,0.2918972858,0.2909084246,0.08693092883,0.9408053789,-1.557416467
71,2000-04-13,-1.027392644,0.2947535256,0.29342976,0.2663994037,0.2683262972,0.06962021882,1.002211279,-1.254522334
